ID,Function,Sort
ArabidopsisthalianaAmmoniumtransporter1member1P54144,Transport,Only Amt
ArabidopsisthalianaAmmoniumtransporter1member3Q9SQH9,Transport,Only Amt
SolanumlycopersicumAmmoniumtransporter1member3Q9FVN03,Transport,Only Amt
ArabidopsisthalianaAmmoniumtransporter2Q9M6N7,Transport,Only Amt
SolanumlycopersicumAmmoniumtransporter1member2O04161,Transport,Only Amt
PyrusbetulifoliaAmmoniumtransporterH6UJ51,Transport,Only Amt
PyrusbetulifoliaAmmoniumtransporterA0A0P0HXD2,Transport,Only Amt
PyrusbetulifoliaAmmoniumtransporterX5CNT2,Transport,Only Amt
PopulustrichocarpaAmmoniumtransporterA0A2K1RA77,Transport,Only Amt
PopulustrichocarpaAmmoniumtransporterA0A2K1RA81,Transport,Only Amt
DaniorerioAmmoniumtransporterRhtypeBQ7T07,Unknown,Only Rh
DaniorerioAmmoniumtransporterRhtypeAQ7T067,Unknown,Only Rh
DaniorerioRh50-likeproteinQ9IAC8,Detoxification,Only Rh
DaniorerioRhfamilyCglycoprotein_like1A8E4T4,Detoxification,Only Rh
KryptolebiasmarmoratusAmmoniatransporterA6XP98,Detoxification,Only Rh
KryptolebiasmarmoratusRhesusglycoproteinA6XBM2,Detoxification,Only Rh
KryptolebiasmarmoratusAmmoniatransporterA6XP97,Detoxification,Only Rh
EptatretusstoutiiRhcGA0A1W5PRD1,Detoxification,Only Rh
EptatretusstoutiiRhbGA0A1W5PRA9,Detoxification,Only Rh
TakifugurubripesAmmoniumtransporterRhtypeC2Q7T3R4,Detoxification,Only Rh
TakifugurubripesAmmoniumtransporterRhtypeC1Q18PF5,Detoxification,Only Rh
TakifugurubripesRHAG-1Q7T3R8,Detoxification,Only Rh
MetacarcinusmagisterRh-likeproteinF2YIC4,Detoxification,Only Rh
CarcinusmaenasRh-likeproteinQ95P70,Detoxification,Only Rh
PortunustrituberculatusRhproteinA0A0B4M163,Unknown,Only Rh
AedesalbopictusAmmoniumtransporterD0V1X1,Detoxification,Only Rh
AedesalbopictusPutativeammoniumtransporterrhbgA0A1W7R848,Unknown,Only Rh
OreochromisgrahamiRhbgS4TCM4,Detoxification,Only Rh
OreochromisgrahamiRhagS4TD66,Transport,Only Rh
HomosapiensAmmoniumtransporterRhtypeBQ9H310,Detoxification,Only Rh
MusmusculusAmmoniumtransporterRhtypeBQ8BUX5,Detoxification,Only Rh
MusmusculusAmmoniumtransporterRhtypeAQ9QUT0,Detoxification,Only Rh
MusmusculusAmmoniumtransporterRhtypeCQ9QXP0,Detoxification,Only Rh
CaenorhabditiselegansAmmoniumtransporterAmtB-likedomain-containingproteinQ22947,Unknown,Both
CaenorhabditiselegansAmmoniumtransporterAmtB-likedomain-containingproteinQ17463,Unknown,Both
CaenorhabditiselegansAmmoniumtransporterQ17663,Unknown,Both
DictyosteliumdiscoideumAmmoniumtransporter2Q9BLG3,Unknown,Both
DictyosteliumdiscoideumAmmoniumtransporter1Q9BLG4,Transport,Both
DictyosteliumdiscoideumRhesus-likeglycoproteinAQ9NIV0,Unknown,Both
DictyosteliumdiscoideumRhesus-likeglycoproteinBQ8I0L6,Unknown,Both
DrosophilamelanogasterAmmoniumtransporterQ9VFA,Sensing,Both
DrosophilamelanogasterRh50isoformDA0A6M3Q9I2,Transport,Both
AnophelesgambiaeAmmoniumtransporterQ7Z1M1,Sensing,Both
AedesaegyptiAmmoniumtransporter1Q5BP96,Detoxification,Both
AedesaegyptiAmmoniumtransporter2Q5BP95,Detoxification,Both
AedesaegyptiAmmoniumtransporterQ1L727,Detoxification,Both
SinonovaculaconstrictaAmmoniumtransporterRhtypeAA0A513U888,Detoxification,Both
Saccharomycescerevisiae_strainATCC204508/S288c_AmmoniumtransporterMEP2P41948,Sensing,Mep
Candidaalbicans_strainSC5314/ATCCMYA-2876_AmmoniumtransporterQ59UP8,Sensing,Mep
KueneniastuttgartiensisAmmoniumtransporterA0A2C9CK98,Sensing,Only Amt
KueneniastuttgartiensisAmmoniumtransporterQ1PX09,Unknown,Only Amt
KueneniastuttgartiensisAmmoniumtransporterQ1Q357,Sensing,Only Amt
