name
Abiotrophia defectiva
Acanthamoeba castellanii
Acaricomes phytoseiuli
Acaryochloris marina
Acetivibrio cellulolyticus
Acetobacter pasteurianus
Acetobacterium woodii
Acetohalobium arabaticum
Acetonema longum
Acholeplasma laidlawii
Achromobacter xylosoxidans
Acidaminobacter hydrogenoformans
Acidaminococcus fermentans
Acidianus hospitalis
Acidilobus saccharovorans
Acidimicrobium ferrooxidans
Acidiphilium multivorum
Acidithiobacillus ferrivorans
Acidobacterium capsulatum
Acidocella facilis
Acidothermus cellulolyticus
Acinetobacter baumannii
Actibacterium mucosum
Actinobacillus pleuropneumoniae
Actinokineospora inagensis
Actinomadura madurae
Actinomyces naeslundii
Actinomycetospora chiangmaiensis
Actinoplanes missouriensis
Actinopolymorpha alba
Actinopolyspora mortivallis
Actinospica robiniae
Actinosynnema mirum
Actinotalea ferrariae
Acyrthosiphon pisum
Acyrthosiphon pisum
Acyrthosiphon pisum
Adhaeribacter aquaticus
Adlercreutzia equolifaciens
Aedes aegypti
Aequorivita sublithincola
Aerococcus urinae
Aeromicrobium marinum
Aeromonas hydrophila
Aeropyrum camini
Aestuariibacter salexigens
Aestuariimicrobium kwangyangense
Afifella pfennigii
Agarivorans albus
Aggregatibacter actinomycetemcomitans
Agrococcus lahaulensis
Agromyces subbeticus
Ailuropoda melanoleuca
Akkermansia muciniphila
Alcaligenes faecalis
Alcanivorax borkumensis
Alexandrium tamarense
Algicola sagamiensis
Algiphilus aromaticivorans
Alicycliphilus denitrificans
Alicyclobacillus acidocaldarius
Alishewanella agri
Alistipes finegoldii
Alkalibacillus haloalkaliphilus
Alkaliflexus imshenetskii
Alkalilimnicola ehrlichii
Alkaliphilus oremlandii
Alkanindiges illinoisensis
Allisonella histaminiformans
Allobaculum stercoricanis
Allochromatium vinosum
Allofustis seminis
Alloiococcus otitis
Allomyces macrogynus
Alloscardovia omnicolens
Altererythrobacter ishigakiensis
Alteromonas macleodii
Alysiella crassa
Aminiphilus circumscriptus
Aminobacterium colombiense
Aminomonas paucivorans
Ammonifex degensii
Amoebidium parasiticum
Amorphus coralli
Amphibacillus xylanus
Amphimedon queenslandica
Amphritea japonica
Amycolatopsis mediterranei
Anabaena cylindrica
Anaeroarcus burkinensis
Anaerobiospirillum succiniciproducens
Anaerobranca gottschalkii
Anaerococcus prevotii
Anaerofustis stercorihominis
Anaeroglobus geminatus
Anaerolinea thermophila
Anaeromusa acidaminophila
Anaeromyxobacter dehalogenans
Anaerophaga thermohalophila
Anaerostipes hadrus
Anaerotruncus colihominis
Anaerovorax odorimutans
Anaplasma marginale
Anditalea andensis
Aneurinibacillus terranovensis
Anopheles gambiae
Anoxybacillus flavithermus
Apis mellifera
Aquamicrobium defluvii
Aquifex aeolicus
Aquiflexum balticum
Aquimarina megaterium
Arabidopsis thaliana
Arcanobacterium haemolyticum
Archaeoglobus fulgidus
Arcobacter nitrofigilis
Arcticibacter svalbardensis
Arenibacter certesii
Arenimonas donghaensis
Arenimonas oryziterrae
Arhodomonas aquaeolei
Aromatoleum aromaticum
Arsenicicoccus bolidensis
Arsenophonus nasoniae
Arthrospira platensis
Asaia platycodi
Aspergillus fumigatus
Asticcacaulis excentricus
Atopobacter phocae
Atopococcus tabaci
Aurantimonas manganoxydans
Aureococcus anophagefferens
Austwickia chelonae
Avibacterium paragallinarum
Azohydromonas australica
Azonexus hydrophilus
Azorhizobium caulinodans
Azotobacter vinelandii
Azovibrio restrictus
Babesia bovis
Bacillus anthracis
Bacteroides fragilis
Balneatrix alpica
Balneola vulgaris
Barnesiella viscericola
Bartonella clarridgeiae
Basilea psittacipulmonis
Batrachochytrium dendrobatidis
Bauldia litoralis
Bavariicoccus seileri
Bdellovibrio bacteriovorus
Beauveria bassiana
Beijerinckia indica
Belliella baltica
Belnapia moabensis
Bergeyella zoohelcum
Beutenbergia cavernae
Bhargavaea cecembensis
Bibersteinia trehalosi
Bifidobacterium animalis
Bigelowiella natans
Bilophila wadsworthia
Bizionia argentinensis
Blastococcus saxobsidens
Blastocystis hominis
Blastopirellula marina
Blattella germanica
Bombyx mori
