Accession	Source Database	Name	Tax ID	Tax Name	Length
A0A011VQM7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1341156	Ruminococcus albus SY3	606
A0A063ZJU6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1495067	Halostagnicola sp. A56	586
A0A081EVR3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2248	Halorubrum saccharovorum	559
A0A099I9L1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1522	Clostridium innocuum	570
A0A0D8IWY3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1550024	Ruthenibacterium lactatiformans	567
A0A0E2HBL2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	999408	[Clostridium] clostridioforme 90A8	565
A0A0F0CIE1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1609975	Clostridium sp. FS41	565
A0A0F9HQB3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	412755	marine sediment metagenome	561
A0A0G3WG46	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1408281	Endomicrobium proavitum	559
A0A0G9LEF6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1667357	Clostridium sp. C8	579
A0A0H5SG89	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1564487	Herbinix hemicellulosilytica	588
A0A0J6WZA7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1122219	Megasphaera cerevisiae DSM 20462	540
A0A0J6ZRU4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1122219	Megasphaera cerevisiae DSM 20462	575
A0A0J9EMW5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	742734	[Clostridium] citroniae WAL-19142	565
A0A0M2NHW4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	270498	Christensenella hongkongensis	575
A0A0M6WC26	unreviewed	Ammonium transporter AmtB-like domain-containing protein	301302	Roseburia faecis	583
A0A0M6WCZ2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	39491	Agathobacter rectalis	585
A0A0M9AS13	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1765655	Halorubrum tropicale	575
A0A0R2HL96	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1410657	Kandleria vitulina DSM 20405	559
A0A0S2W112	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1297617	Intestinimonas butyriciproducens	571
A0A0U5JBG5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1776045	Clostridium sp. C105KSO13	577
A0A0W7TMH6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1550024	Ruthenibacterium lactatiformans	567
A0A0X8VAS2	unreviewed	Ammonium transporter, Amt family	991789	Anaerotignum propionicum DSM 1682	584
A0A136Q6K1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	626937	Christensenella minuta	566
A0A136WGT4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	36847	Anaerotignum neopropionicum	581
A0A140DTE7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1702221	Faecalibaculum rodentium	564
A0A143Y517	unreviewed	Ammonium transporter AmtB-like domain-containing protein	140314	Trichococcus palustris	590
A0A143Y9S4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	872292	Trichococcus sp. ES5	597
A0A143YNF2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	140314	Trichococcus palustris	598
A0A143YTA3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	640938	Trichococcus ilyis	559
A0A143YWY4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	140314	Trichococcus palustris	558
A0A143YZV1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	872292	Trichococcus sp. ES5	559
A0A143Z212	unreviewed	Ammonium transporter AmtB-like domain-containing protein	640938	Trichococcus ilyis	597
A0A143ZCA8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	640938	Trichococcus ilyis	588
A0A151AI36	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1008153	Halalkalicoccus paucihalophilus	550
A0A169X118	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1679489	Haladaptatus sp. R4	559
A0A173R3X4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	649756	Anaerostipes hadrus	581
A0A173R662	unreviewed	Ammonium transporter AmtB-like domain-containing protein	39490	Eubacterium ramulus	585
A0A173SMJ4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	301302	Roseburia faecis	583
A0A173TUR6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	39488	Anaerobutyricum hallii	556
A0A173V441	unreviewed	Ammonium transporter AmtB-like domain-containing protein	853	Faecalibacterium prausnitzii	579
A0A173W538	unreviewed	Ammonium transporter AmtB-like domain-containing protein	88431	Dorea longicatena	584
A0A173X4T2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	39491	Agathobacter rectalis	585
A0A173XV88	unreviewed	Ammonium transporter AmtB-like domain-containing protein	40520	Blautia obeum	580
A0A173XVK8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	84024	Clostridium disporicum	567
A0A173Z4K3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	40520	Blautia obeum	570
A0A173ZTK6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	33039	[Ruminococcus] torques	570
A0A174C5U1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1531	Enterocloster clostridioformis	565
A0A174D1D6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	40520	Blautia obeum	570
A0A174GH26	unreviewed	Ammonium transporter AmtB-like domain-containing protein	418240	Blautia wexlerae	454
A0A174H6C4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	84024	Clostridium disporicum	556
A0A174JG28	unreviewed	Ammonium transporter AmtB-like domain-containing protein	418240	Blautia wexlerae	570
A0A174RYE8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	40520	Blautia obeum	580
A0A174T4F8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	88431	Dorea longicatena	584
A0A174TIU3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	649756	Anaerostipes hadrus	581
A0A174VZ55	unreviewed	Ammonium transporter AmtB-like domain-containing protein	40520	Blautia obeum	570
A0A174XKK3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	154046	Hungatella hathewayi	568
A0A174YTX7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	39485	Lachnospira eligens	580
A0A174Z5H4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	39485	Lachnospira eligens	580
A0A175A4T9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	39492	[Eubacterium] siraeum	594
A0A175ABC8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	33039	[Ruminococcus] torques	584
A0A176U687	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1715004	Clostridiales bacterium KLE1615	595
A0A1B1YE78	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1121336	Thermoclostridium stercorarium subsp. thermolacticum DSM 2910	587
A0A1B1YLE9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1346611	Thermoclostridium stercorarium subsp. leptospartum DSM 9219	587
A0A1C0BVB4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1768196	Erysipelotrichaceae bacterium MTC7	554
A0A1C5KIM4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	575
A0A1C5M0W8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	581
A0A1C5MDL8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	765821	uncultured Blautia sp.	576
A0A1C5MK12	unreviewed	Ammonium transporter AmtB-like domain-containing protein	876091	uncultured Oscillibacter sp.	574
A0A1C5N7S1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	565
A0A1C5PFK7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	580
A0A1C5PIG4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	596
A0A1C5PQC5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	286138	uncultured Dorea sp.	584
A0A1C5PTP6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	583
A0A1C5PX47	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	583
A0A1C5QAX9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	597
A0A1C5QDA2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	259315	uncultured Faecalibacterium sp.	580
A0A1C5QHK8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	575
A0A1C5QX74	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	590
